index,split,img_path,mask_path
6,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (6).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_006.png
7,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (7).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_007.png
8,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (8).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_008.png
10,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (10).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_010.png
11,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (11).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_011.png
12,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (12).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_012.png
13,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (13).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_013.png
16,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (16).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_016.png
18,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (18).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_018.png
19,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (19).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_019.png
20,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (20).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_020.png
21,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (21).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_021.png
23,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (23).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_023.png
24,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (24).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_024.png
25,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (25).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_025.png
26,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (26).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_026.png
28,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (28).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_028.png
29,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (29).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_029.png
31,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (31).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_031.png
32,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (32).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_032.png
33,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (33).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_033.png
35,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (35).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_035.png
36,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (36).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_036.png
38,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (38).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_038.png
39,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (39).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_039.png
40,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (40).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_040.png
41,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (41).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_041.png
42,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (42).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_042.png
43,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (43).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_043.png
44,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (44).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_044.png
45,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (45).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_045.png
46,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (46).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_046.png
47,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (47).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_047.png
49,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (49).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_049.png
50,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (50).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_050.png
51,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (51).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_051.png
52,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (52).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_052.png
53,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (53).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_053.png
54,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (54).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_054.png
55,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (55).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_055.png
57,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (57).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_057.png
58,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (58).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_058.png
59,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (59).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_059.png
60,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (60).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_060.png
62,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (62).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_062.png
63,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (63).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_063.png
64,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (64).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_064.png
65,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (65).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_065.png
66,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (66).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_066.png
67,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (67).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_067.png
69,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (69).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_069.png
70,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (70).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_070.png
74,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (74).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_074.png
75,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (75).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_075.png
77,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (77).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_077.png
78,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (78).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_078.png
80,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (80).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_080.png
81,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (81).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_081.png
82,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (82).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_082.png
84,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (84).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_084.png
85,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (85).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_085.png
86,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (86).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_086.png
88,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (88).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_088.png
89,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (89).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_089.png
90,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (90).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_090.png
92,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (92).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_092.png
93,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (93).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_093.png
94,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (94).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_094.png
96,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (96).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_096.png
97,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (97).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_097.png
98,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (98).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_098.png
99,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (99).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_099.png
100,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (100).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_100.png
101,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (101).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_101.png
102,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (102).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_102.png
104,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (104).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_104.png
105,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (105).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_105.png
109,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (109).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_109.png
110,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (110).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_110.png
111,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (111).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_111.png
113,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (113).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_113.png
115,train,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Original_Benign\benign_Adjusted (115).png,C:\Users\Sohyun Kang\PycharmProjects\smtask\MT-Small-Dataset\Benign\Ground_Truth_Benign\pixelLabel_115.png
