index,split,img_path,mask_path
8,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (8).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_008.png
9,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (9).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_009.png
10,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (10).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_010.png
11,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (11).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_011.png
12,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (12).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_012.png
13,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (13).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_013.png
16,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (16).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_016.png
19,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (19).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_019.png
20,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (20).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_020.png
21,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (21).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_021.png
23,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (23).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_023.png
24,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (24).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_024.png
25,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (25).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_025.png
26,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (26).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_026.png
27,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (27).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_027.png
28,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (28).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_028.png
29,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (29).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_029.png
30,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (30).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_030.png
31,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (31).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_031.png
32,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (32).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_032.png
33,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (33).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_033.png
36,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (36).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_036.png
37,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (37).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_037.png
38,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (38).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_038.png
39,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (39).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_039.png
40,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (40).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_040.png
41,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (41).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_041.png
42,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (42).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_042.png
44,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (44).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_044.png
46,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (46).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_046.png
48,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (48).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_048.png
50,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (50).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_050.png
51,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (51).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_051.png
53,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (53).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_053.png
54,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (54).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_054.png
57,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (57).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_057.png
58,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (58).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_058.png
59,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (59).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_059.png
60,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (60).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_060.png
63,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (63).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_063.png
64,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (64).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_064.png
65,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (65).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_065.png
67,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (67).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_067.png
70,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (70).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_070.png
71,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (71).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_071.png
73,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (73).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_073.png
77,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (77).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_077.png
78,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (78).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_078.png
80,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (80).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_080.png
81,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (81).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_081.png
82,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (82).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_082.png
84,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (84).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_084.png
85,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (85).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_085.png
86,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (86).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_086.png
88,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (88).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_088.png
89,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (89).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_089.png
90,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (90).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_090.png
91,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (91).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_091.png
93,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (93).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_093.png
95,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (95).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_095.png
96,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (96).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_096.png
97,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (97).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_097.png
98,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (98).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_098.png
100,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (100).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_100.png
101,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (101).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_101.png
102,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (102).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_102.png
103,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (103).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_103.png
104,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (104).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_104.png
105,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (105).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_105.png
106,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (106).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_106.png
107,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (107).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_107.png
108,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (108).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_108.png
109,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (109).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_109.png
110,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (110).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_110.png
113,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (113).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_113.png
114,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (114).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_114.png
116,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (116).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_116.png
117,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (117).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_117.png
119,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (119).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_119.png
120,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (120).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_120.png
122,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (122).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_122.png
123,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (123).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_123.png
124,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (124).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_124.png
127,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (127).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_127.png
128,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (128).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_128.png
129,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (129).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_129.png
130,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (130).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_130.png
132,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (132).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_132.png
134,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (134).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_134.png
136,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (136).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_136.png
138,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (138).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_138.png
139,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (139).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_139.png
140,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (140).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_140.png
142,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (142).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_142.png
143,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (143).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_143.png
145,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (145).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_145.png
147,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (147).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_147.png
148,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (148).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_148.png
150,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (150).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_150.png
151,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (151).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_151.png
152,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (152).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_152.png
153,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (153).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_153.png
154,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (154).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_154.png
155,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (155).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_155.png
156,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (156).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_156.png
157,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (157).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_157.png
158,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (158).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_158.png
162,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (162).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_162.png
163,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (163).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_163.png
164,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (164).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_164.png
165,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (165).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_165.png
167,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (167).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_167.png
168,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (168).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_168.png
169,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (169).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_169.png
170,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (170).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_170.png
172,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (172).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_172.png
174,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (174).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_174.png
177,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (177).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_177.png
178,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (178).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_178.png
179,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (179).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_179.png
180,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (180).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_180.png
181,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (181).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_181.png
182,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (182).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_182.png
183,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (183).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_183.png
184,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (184).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_184.png
186,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (186).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_186.png
188,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (188).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_188.png
189,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (189).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_189.png
190,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (190).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_190.png
191,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (191).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_191.png
192,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (192).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_192.png
193,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (193).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_193.png
195,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (195).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_195.png
197,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (197).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_197.png
198,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (198).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_198.png
199,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (199).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_199.png
200,train,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (200).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_200.png
18,val,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (18).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_018.png
35,val,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (35).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_035.png
43,val,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (43).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_043.png
45,val,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (45).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_045.png
47,val,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (47).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_047.png
49,val,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (49).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_049.png
52,val,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (52).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_052.png
55,val,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (55).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_055.png
62,val,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (62).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_062.png
66,val,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (66).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_066.png
69,val,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (69).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_069.png
74,val,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (74).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_074.png
75,val,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (75).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_075.png
92,val,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (92).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_092.png
94,val,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (94).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_094.png
99,val,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (99).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_099.png
111,val,MT-Small-Dataset/Benign/Original_Benign/benign_Adjusted (111).png,MT-Small-Dataset/Benign/Ground_Truth_Benign/pixelLabel_111.png
